data_solicitacao;ano_sol;caso_sirsaelp;unidade;superintendencia;diretoria;competencia;tipopericia;perito
2025-08-04 15:14:00;2025;2025.1.8615;Joinville;Joinville;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;RICHARD
2025-08-04 15:20:00;2025;2024.8.8018;Balneário Camboriú;Balneário Camboriú;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;RAFAEL
2025-08-04 15:20:00;2025;2025.9.3402;Lages;Lages;Criminalística;Local de crime contra o patrimônio;Exame de Dano;FILLIPE
2025-08-04 15:21:00;2025;2025.22.4605;Florianópolis;Florianópolis;Médico Legal;Psiquiatria Forense;Perícia Psiquiátrica;RAFAEL
2025-08-04 15:28:00;2025;2025.2.5509;Florianópolis;Florianópolis;Criminalística;Informática Forense;Desbloqueio e Extração Premium;RENATA
2025-08-04 15:31:00;2025;2025.12.3108;Florianópolis;Florianópolis;Criminalística;Medicina Veterinária;Exame de Lesão Corporal em Animais;LOAN
2025-08-04 15:32:00;2025;2025.15.1394;Videira;Caçador;Criminalística;Engenharia Forense;Medição de Níveis de Pressão Sonora;JAISON
2025-08-04 15:35:00;2025;2025.22.4606;Chapecó;Chapecó;Criminalística;Documentoscopia;Exame de Autenticidade em Documentos;KÁTIA
2025-08-04 15:48:00;2025;2025.14.4812;Tubarão;Criciúma;Criminalística;Medicina Veterinária;Local de Maus-tratos a Animais;MAURÍCIO
2025-08-04 15:54:00;2025;2025.9.3403;Lages;Lages;Criminalística;Local de crime contra a vida;Busca de vestígios de crime contra a vida;FILLIPE
2025-08-04 16:00:00;2025;2025.4.5341;Florianópolis;Florianópolis;Criminalística;Medicina Veterinária;Exame Necroscópico em Animais;IGOR
2025-08-04 16:02:00;2025;2025.4.5340;Florianópolis;Florianópolis;Médico Legal;Psiquiatria Forense;Perícia Psiquiátrica;RAFAEL
2025-08-04 16:06:00;2025;2025.9.3404;Lages;Lages;Análises Forenses;Química Forense;Pesquisa de Drogas Psicoativas;VICTOR
2025-08-04 16:09:00;2025;2024.8.11615;Balneário Camboriú;Balneário Camboriú;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;RAFAEL
2025-08-04 16:15:00;2025;2025.8.11469;Balneário Camboriú;Balneário Camboriú;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;RAFAEL
2025-08-04 16:18:00;2025;2025.12.110;Joinville;Joinville;Criminalística;Áudio e Imagem;Análise de Conteúdo em Registros de Imagem;CARLOS
2025-08-04 16:19:00;2025;2025.22.4609;Chapecó;Chapecó;Análises Forenses;Química Forense;Pesquisa de Drogas Psicoativas;JUDY
